,Arrivals to Greek Islands,Departures to mainland Greece,Arrivals to fYRoM,Arrivals to Serbia,Arrivals to Croatia,Arrivals to Hungary,Arrivals to Slovenia,Arrivals to Austria
12/2/2015,"3,863","4,384","3,174","4,040","1,982",4,"3,077","2,874"
12/3/2015,"2,671","2,255",494,553,"4,174",9,"3,237","2,935"
12/4/2015,"2,435",3844,"3,436","1,927",611,1,"1,577","3,366"
12/5/2015,"2,110",3172,"4,430","3,799","1,835",31,715,"1,493"
12/6/2015,"4,978","2,943","4,425","4,686","5,339",7,"4,288","1,643"
12/7/2015,"5,287","2,810","3,826","4,823","4,162",0,"4,240","5,035"
12/8/2015,"4,721","2,189","1,508","2,437","4,335",13,"5,351","5,210"
12/9/2015,"3,203","5,947","2,550","1,807","3,027",14,"4,103","4,714"
12/10/2015,"3,308","3,456","2,956","3,723","2,076",3,"2,078","3,623"
12/11/2015,"1,999","3,079","4,047","3,747","3,149",0,"3,149","2,000"
12/12/2015,"1,671","2,235","3,338","4,339","5,225",13,"4,271","3,675"
12/13/2015,"1,738","1,976","2,849","2,698","3,112",10,"3,016","4,754"
12/14/2015,"5,005","3,138","2,644","2,353","4,174",3,"4,250","4,263"
12/15/2015,"3,389","2,173","2,349","2,067","2,160",2,"2,098","4,193"
12/16/2015,"4,098","3,137","3,264","2,916","3,177",6,"3,214","2,519"
12/17/2015,"1,402","3,967","2,801","3,438","3,192",0,"3,135","2,717"
12/18/2015,"2,354","4,458","2,332","2,649","3,200",11,"3,150","3,532"
12/19/2015,"2,373","1,016","3,515","3,052","3,156",31,"3,222","3,305"
12/20/2015,"5,223","4,070","2,338","3,405","3,276",8,"3,233","3,800"
